,totalid
"300055,7408909",2.0
"300063,7394139",7.0
"300064,7390040",2.0
"300095,7385957",1.0
"300148,7394227",4.0
"300192,7400213",6.0
"300250,7400515",6.0
"300255,7395135",4.0
"300259,7394642",4.0
"300263,7401095",4.0
"300291,7357864",10.0
"300301,7395268",1.0
"300354,7387310",1.0
"300354,7401367",2.0
"300356,7401046",3.0
"300376,7524900",1.0
"300378,7394352",8.0
"300383,7401106",2.0
"300387,7383847",4.0
"300402,7394385",2.0
"300412,7357566",3.0
"300417,7400803",2.0
"300418,7387279",1.0
"300437,7387135",4.0
"300470,7400199",2.0
"300475,7392178",2.0
"300475,7400193",5.0
"300485,7384960",2.0
"300508,7383182",1.0
"300525,7387522",1.0
"300538,7394541",1.0
"300551,7392085",4.0
"300559,7409849",2.0
"300638,7393244",6.0
"300656,7392273",8.0
"300667,7383187",6.0
"300669,7394296",6.0
"300697,7400565",4.0
"300730,7386873",2.0
"300735,7394074",8.0
"300750,7386811",7.0
"300765,7401394",2.0
"300770,7400269",4.0
"300785,7394837",2.0
"300796,7386757",4.0
"300802,7394993",3.0
"300803,7393232",1.0
"300807,7393738",10.0
"300839,7394701",2.0
"300856,7386679",5.0
"300863,7394537",3.0
"300903,7396969",1.0
"300939,7395045",5.0
"300945,7401065",5.0
"300950,7394692",2.0
"300963,7394479",5.0
"300979,7400618",1.0
"301000,7360750",17.0
"301005,7400756",2.0
"301010,7386055",5.0
"301020,7393430",4.0
"301029,7392993",5.0
"301031,7394350",1.0
"301034,7394935",2.0
"301036,7393733",1.0
"301078,7383733",2.0
"301083,7386149",1.0
"301096,7386930",4.0
"301105,7385968",4.0
"301112,7386546",4.0
"301116,7395283",6.0
"301145,7393743",4.0
"301161,7393095",10.0
"301161,7393390",1.0
"301184,7392575",6.0
"301186,7384294",1.0
"301190,7394821",1.0
"301199,7384274",4.0
"301218,7394112",2.0
"301221,7385982",1.0
"301223,7386602",7.0
"301227,7387503",1.0
"301240,7388012",2.0
"301247,7393758",2.0
"301253,7386543",2.0
"301253,7387032",1.0
"301256,7393142",6.0
"301261,7387085",2.0
"301281,7387495",2.0
"301283,7408553",1.0
"301292,7360103",8.0
"301302,7395275",1.0
"301307,7384618",7.0
"301318,7393615",1.0
"301326,7384872",7.0
"301345,7388071",2.0
"301351,7387998",1.0
"301366,7385807",6.0
"301385,7387934",1.0
"301388,7406679",2.0
"301395,7400591",6.0
"301404,7393406",3.0
"301405,7394967",5.0
"301414,7383559",2.0
"301417,7360611",2.0
"301439,7387873",1.0
"301440,7393761",1.0
"301440,7395252",6.0
"301444,7385027",3.0
"301444,7387869",1.0
"301449,7386459",6.0
"301460,7355228",4.0
"301477,7407899",2.0
"301480,7397600",2.0
"301485,7387754",1.0
"301495,7397721",2.0
"301500,7393386",3.0
"301502,7393834",14.0
"301504,7393766",4.0
"301517,7387762",6.0
